epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.24096283991530798,0.9019638403990025,0.1286495693027973,0.9433333333333334
1,0.085934104969228,0.9727244389027432,0.10120006911456585,0.9683333333333334
2,0.04476450404391492,0.9876870324189526,0.07517718107750018,0.97
3,0.027072869951922696,0.993142144638404,0.05422045808906357,0.9833333333333333
4,0.018860903296833324,0.9953241895261845,0.059821296979983646,0.98
5,0.016039344307936337,0.9959476309226932,0.0538809680690368,0.985
6,0.013620211213143156,0.9967269326683291,0.0738973718136549,0.9766666666666667
7,0.008471747151224123,0.9987531172069826,0.055513308267109096,0.985
8,0.008670178093170014,0.9981296758104738,0.05429278286561991,0.9816666666666667
9,0.011649419595201459,0.9961034912718204,0.05658489638978305,0.9816666666666667
10,0.007489869056176336,0.9978179551122195,0.04545289788317556,0.99
11,0.00643934939573246,0.9987531172069826,0.0400623797274117,0.9866666666666667
12,0.004602113366547967,0.9993765586034913,0.04266011881021162,0.9883333333333333
13,0.003084810049896665,0.9995324189526185,0.03612821352823327,0.99
14,0.0030836090984955452,0.9995324189526185,0.04200315739532622,0.9866666666666667
15,0.002735645249428633,0.9993765586034913,0.04587732116294016,0.9866666666666667
16,0.007398486980348837,0.9978179551122195,0.04847186974560221,0.9866666666666667
17,0.00458567216711138,0.9984413965087282,0.05060180885872493,0.9816666666666667
18,0.003160269641916342,0.9990648379052369,0.05013500159839168,0.9816666666666667
19,0.0012034638022029647,0.9998441396508728,0.04491879560907061,0.99
20,0.0009337679256897442,1.0,0.04953672052361071,0.9866666666666667
21,0.0023033414005462,0.9995324189526185,0.03999862551184682,0.9916666666666667
22,0.00339708792792106,0.9990648379052369,0.05027641526733836,0.9883333333333333
23,0.0010554883440924828,1.0,0.0495221010564516,0.985
24,0.002638336592645826,0.9992206982543641,0.07430139962016255,0.9816666666666667
