epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.20205972355353807,0.9130299251870324,0.09651753537667294,0.9616666666666667
1,0.07677736063168485,0.9722568578553616,0.08261504295902948,0.9733333333333334
2,0.04096795550791475,0.9858167082294265,0.05646778924080233,0.9783333333333334
3,0.027223524987002156,0.9901807980049875,0.07057282923099896,0.9766666666666667
4,0.02415800901120806,0.9915835411471322,0.06164724946332475,0.98
5,0.011238108552448974,0.9968827930174564,0.08097758077395459,0.975
6,0.007225129723643225,0.9975062344139651,0.0644200756515905,0.985
7,0.018977057079623556,0.9934538653366584,0.02697472721338272,0.99
8,0.013216113958983635,0.9959476309226932,0.04333373997700012,0.9816666666666667
9,0.005364374588415849,0.9981296758104738,0.0810828191092393,0.9783333333333334
10,0.01814175868128727,0.9942331670822943,0.041689784439707486,0.9833333333333333
11,0.0039082801488308505,0.9992206982543641,0.05822539247161937,0.985
12,0.0069373393353781105,0.9975062344139651,0.07931166168382334,0.9766666666666667
13,0.010688158603887981,0.9964152119700748,0.06782674421556294,0.9766666666666667
14,0.0019705960985666004,0.9990648379052369,0.1165050275001704,0.9783333333333334
15,0.014430935330614274,0.9951683291770573,0.055734767592609084,0.9833333333333333
16,0.001713185490764513,0.9995324189526185,0.09729846295552609,0.9816666666666667
17,0.000731684470340748,0.9998441396508728,0.10372940927894282,0.98
18,0.0003062485225441588,1.0,0.09009230497680391,0.9866666666666667
19,0.0020383846818200595,0.9992206982543641,0.11103297745697395,0.9766666666666667
20,0.015825336052137318,0.9932980049875312,0.10375922583498323,0.98
21,0.017078611326439983,0.9956359102244389,0.1358866177285184,0.9616666666666667
22,0.004445528318979271,0.9987531172069826,0.05280108293591183,0.9833333333333333
23,0.0024655946502013452,0.9995324189526185,0.048242668727956094,0.99
24,0.004125683653978889,0.9987531172069826,0.06745221130975665,0.98
